Month,rolling_CVaR,static_CVaR,rolling_avg_ret,rolling_vol
2020-01,0.008139790818173454,0.008139790818173454,0.0022656555371246534,0.005189538128305035
2020-02,0.036242743341550025,0.036616765264006604,-0.0041698191954402195,0.012635136513147644
2020-03,0.10167235158585104,0.10851869580546787,-0.00028329286835351977,0.051083736641614516
2020-04,0.04176511531849173,0.03281168886313332,0.0071853261105470564,0.025321596250573175
2020-05,0.029995352157329243,0.020742051510503595,0.00340390573570636,0.015731797576935793
2020-06,0.026372268871323934,0.03272398041874559,0.0028946829461027057,0.009978997092232954
2020-07,0.03231951764346885,0.013804852349032264,0.0025529716399764766,0.014731474924218139
2020-08,0.016165412698781488,0.016363292300275452,0.000771621678625368,0.011114357580933288
2020-09,0.03441011894658019,0.025716152847243375,-0.00144641905816742,0.017859303099987362
2020-10,0.02337433205243081,0.027366022266970512,-0.0007143367379106711,0.015286176223677627
2020-11,0.021530458249832973,0.018773162042249734,0.008051383867470362,0.012609819811512704
2020-12,0.016020593958431507,0.011136272296060047,-0.0002471563253482902,0.008470588863516327
