from,to,max_change,mover,stable
2020-01,2020-02,0.02348597383936449,EBAY,True
2020-02,2020-03,0.08576342283631343,AMGN,False
2020-03,2020-04,0.45167411929673623,CTXS,False
2020-04,2020-05,0.20431577269033582,CTXS,False
2020-05,2020-06,0.19584798259147435,CTXS,False
2020-06,2020-07,0.07492945597060824,MAR,False
2020-07,2020-08,0.13046517134195723,COST,False
2020-08,2020-09,0.289997917038324,COST,False
2020-09,2020-10,0.1958709309150812,COST,False
2020-10,2020-11,0.06841082638520447,GILD,False
2020-11,2020-12,1.3877787807814457e-16,INCY,True
